p_code,age,language,gender,education,sg_freq,sg_tot,sg_prop,sc_freq,sc_tot,sc_prop,cog_emp,aff_emp,sg_size,sc_size,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,acq1,sg_rel,sc_rel,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,acq2,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,acq3,acq_tot,s1_pro,s2_pro,s3_pro,s4_pro,s5_pro,s6_pro,s7_pro,s8_pro,s9_pro,s10_pro,s11_pro,s12_pro,s13_pro,s14_pro,s15_pro,s16_pro,s17_pro,s18_pro,s19_pro,s20_pro,p1_pro,p2_pro,p3_pro,p4_pro,p5_pro,p6_pro,p7_pro,p8_pro,p9_pro,p10_pro,p11_pro,p12_pro,p13_pro,p14_pro,p15_pro,p16_pro,p17_pro,p18_pro,p19_pro,p20_pro
1,41,1,2,2,1,4,0.25,2,6,0.333333333,73,42,5,1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,1,3,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,1,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,3,1,3,0.20481927710843373,0.46987951807228917,0.5542168674698795,0.572289156626506,0.2289156626506024,0.8192771084337349,0.27710843373493976,0.6325301204819277,0.20481927710843373,0.7530120481927711,0.35542168674698793,0.4457831325301205,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.25903614457831325,0.6445783132530121,0.16265060240963855,0.42168674698795183,0.608433734939759,0.20481927710843373,0.5903614457831325,0.4457831325301205,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.39156626506024095,0.3674698795180723,0.21686746987951808,0.39759036144578314,0.27710843373493976,0.0963855421686747,0.29518072289156627,0.3132530120481928,0.6626506024096386,0.23493975903614459,0.28313253012048195,0.4578313253012048,0.42771084337349397,0.37349397590361444
2,28,1,2,3,0,4,0.0,0,2,0.0,56,32,2,1,A,B,A,B,B,A,B,B,B,B,B,A,B,B,B,B,A,B,B,B,1,2,3,B,A,B,A,A,B,A,B,B,A,B,B,B,B,A,B,B,A,A,A,1,3,2,4,4,4,4,2,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,2,2,2,4,2,3,3,1,3,0.4759036144578313,0.19879518072289157,0.5542168674698795,0.12650602409638553,0.608433734939759,0.8192771084337349,0.1566265060240964,0.2469879518072289,0.5060240963855421,0.18674698795180722,0.3855421686746988,0.4457831325301205,0.12048192771084337,0.13253012048192772,0.07228915662650602,0.12650602409638553,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.06626506024096386,0.4759036144578313,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.25301204819277107,0.39156626506024095,0.35542168674698793,0.3313253012048193,0.39759036144578314,0.30120481927710846,0.463855421686747,0.463855421686747,0.463855421686747,0.6626506024096386,0.3072289156626506,0.15060240963855423,0.4578313253012048,0.42771084337349397,0.37349397590361444
3,36,1,1,4,0,4,0.0,0,3,0.0,45,28,2,1,A,C,B,A,B,A,C,C,A,A,B,B,A,B,A,B,A,B,B,B,1,4,3,B,A,A,B,A,B,B,B,A,B,C,B,A,C,B,B,C,A,A,B,1,3,2,3,3,3,3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,3,2,3,1,3,0.4759036144578313,0.19879518072289157,0.2289156626506024,0.572289156626506,0.608433734939759,0.8192771084337349,0.0963855421686747,0.03614457831325301,0.20481927710843373,0.7530120481927711,0.3855421686746988,0.3433734939759036,0.7409638554216867,0.13253012048192772,0.6265060240963856,0.12650602409638553,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.06626506024096386,0.4759036144578313,0.5903614457831325,0.4457831325301205,0.14457831325301204,0.5481927710843374,0.25301204819277107,0.4819277108433735,0.35542168674698793,0.21686746987951808,0.3253012048192771,0.37349397590361444,0.463855421686747,0.29518072289156627,0.060240963855421686,0.21686746987951808,0.3072289156626506,0.4397590361445783,0.4578313253012048,0.42771084337349397,0.22289156626506024
4,71,1,2,2,0,5,0.0,3,7,0.428571429,67,42,3,1,A,A,B,A,C,A,D,A,C,A,C,A,A,C,A,C,A,A,A,A,1,5,2,B,A,B,B,B,B,A,B,A,B,C,B,B,A,A,B,C,B,B,A,1,3,4,4,4,3,3,4,3,2,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,3,3,3,4,4,4,3,1,3,0.4759036144578313,0.46987951807228917,0.2289156626506024,0.572289156626506,0.13855421686746988,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.25301204819277107,0.7530120481927711,0.1746987951807229,0.4457831325301205,0.7409638554216867,0.2891566265060241,0.6265060240963856,0.45180722891566266,0.6445783132530121,0.16265060240963855,0.42168674698795183,0.608433734939759,0.4759036144578313,0.5903614457831325,0.4397590361445783,0.14457831325301204,0.21686746987951808,0.25301204819277107,0.39156626506024095,0.35542168674698793,0.21686746987951808,0.3253012048192771,0.37349397590361444,0.463855421686747,0.463855421686747,0.3132530120481928,0.6626506024096386,0.3072289156626506,0.4397590361445783,0.463855421686747,0.3072289156626506,0.37349397590361444
5,44,1,2,1,0,8,0.0,0,8,0.0,73,40,4,2,A,C,C,A,B,A,C,B,C,B,A,B,C,A,A,C,B,C,B,A,1,2,2,B,A,B,B,C,C,C,C,C,B,C,C,B,B,A,A,C,A,C,B,1,3,2,4,4,3,3,4,4,4,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,3,0.4759036144578313,0.19879518072289157,0.16265060240963855,0.572289156626506,0.608433734939759,0.8192771084337349,0.0963855421686747,0.2469879518072289,0.25301204819277107,0.18674698795180722,0.35542168674698793,0.3433734939759036,0.05421686746987952,0.3614457831325301,0.6265060240963856,0.45180722891566266,0.1144578313253012,0.27710843373493976,0.4879518072289157,0.608433734939759,0.4759036144578313,0.5903614457831325,0.4397590361445783,0.14457831325301204,0.20481927710843373,0.26506024096385544,0.060240963855421686,0.06626506024096386,0.3192771084337349,0.3253012048192771,0.37349397590361444,0.04819277108433735,0.463855421686747,0.463855421686747,0.6626506024096386,0.23493975903614459,0.4397590361445783,0.4578313253012048,0.15060240963855423,0.22289156626506024
6,38,1,2,1,0,7,0.0,3,6,0.5,63,33,7,4,A,A,A,A,B,A,D,A,A,A,C,B,A,C,A,A,C,B,C,A,1,2,3,A,A,C,A,B,A,A,D,C,C,A,B,B,B,A,B,C,A,A,C,1,3,3,4,4,4,4,3,2,2,3,3,3,2,2,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,3,1,3,0.20481927710843373,0.46987951807228917,0.5542168674698795,0.572289156626506,0.608433734939759,0.8192771084337349,0.45180722891566266,0.6325301204819277,0.20481927710843373,0.7530120481927711,0.1746987951807229,0.3433734939759036,0.7409638554216867,0.2891566265060241,0.6265060240963856,0.25903614457831325,0.16265060240963855,0.5240963855421686,0.07228915662650602,0.608433734939759,0.20481927710843373,0.5903614457831325,0.09036144578313253,0.5602409638554217,0.21686746987951808,0.3493975903614458,0.39156626506024095,0.1927710843373494,0.3192771084337349,0.1927710843373494,0.27710843373493976,0.463855421686747,0.463855421686747,0.463855421686747,0.6626506024096386,0.3072289156626506,0.4397590361445783,0.4578313253012048,0.42771084337349397,0.26506024096385544
8,39,2,1,1,0,2,0.0,0,3,0.0,56,34,4,3,A,A,A,C,B,A,B,C,B,A,B,B,A,A,A,A,A,B,B,A,1,2,2,D,A,B,A,D,C,A,B,A,A,C,B,B,B,A,C,C,B,A,C,1,3,2,3,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,3,1,3,2,1,3,0.13855421686746988,0.46987951807228917,0.5542168674698795,0.1686746987951807,0.608433734939759,0.8192771084337349,0.1566265060240964,0.03614457831325301,0.5060240963855421,0.7530120481927711,0.3855421686746988,0.3433734939759036,0.7409638554216867,0.3614457831325301,0.6265060240963856,0.25903614457831325,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.608433734939759,0.13855421686746988,0.5903614457831325,0.4397590361445783,0.5602409638554217,0.012048192771084338,0.26506024096385544,0.39156626506024095,0.35542168674698793,0.21686746987951808,0.39759036144578314,0.37349397590361444,0.463855421686747,0.463855421686747,0.463855421686747,0.6626506024096386,0.24096385542168675,0.4397590361445783,0.463855421686747,0.42771084337349397,0.26506024096385544
9,33,1,1,2,0,6,0.0,0,3,0.0,55,30,7,5,A,D,A,B,A,B,B,A,B,A,D,C,B,B,A,A,A,A,B,A,1,2,2,B,A,B,C,B,A,B,A,C,D,A,B,C,D,A,A,C,B,C,C,1,3,1,3,3,3,4,3,2,3,3,2,3,3,2,2,3,4,3,3,2,2,3,3,3,3,2,3,3,1,4,3,1,3,0.4759036144578313,0.1144578313253012,0.5542168674698795,0.12650602409638553,0.2289156626506024,0.04216867469879518,0.1566265060240964,0.6325301204819277,0.5060240963855421,0.7530120481927711,0.06626506024096386,0.09036144578313253,0.12048192771084337,0.13253012048192772,0.6265060240963856,0.25903614457831325,0.6445783132530121,0.16265060240963855,0.4879518072289157,0.608433734939759,0.4759036144578313,0.5903614457831325,0.4397590361445783,0.1686746987951807,0.21686746987951808,0.3493975903614458,0.4819277108433735,0.3674698795180723,0.3192771084337349,0.06626506024096386,0.27710843373493976,0.463855421686747,0.10240963855421686,0.14457831325301204,0.6626506024096386,0.23493975903614459,0.4397590361445783,0.463855421686747,0.15060240963855423,0.26506024096385544
10,30,1,1,1,0,7,0.0,1,6,0.166666667,69,41,9,4,A,C,A,B,B,A,D,D,B,B,B,C,A,D,D,D,A,B,B,D,1,3,1,D,A,A,B,A,C,A,D,B,A,A,B,B,A,A,B,A,A,A,A,1,3,3,4,4,4,4,4,3,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,4,4,1,3,0.13855421686746988,0.19879518072289157,0.5542168674698795,0.12650602409638553,0.608433734939759,0.8192771084337349,0.45180722891566266,0.06626506024096386,0.5060240963855421,0.18674698795180722,0.3855421686746988,0.09036144578313253,0.7409638554216867,0.19879518072289157,0.1566265060240964,0.14457831325301204,0.6445783132530121,0.5240963855421686,0.4879518072289157,0.23493975903614459,0.13855421686746988,0.5903614457831325,0.4457831325301205,0.14457831325301204,0.5481927710843374,0.26506024096385544,0.39156626506024095,0.1927710843373494,0.3313253012048193,0.39759036144578314,0.27710843373493976,0.463855421686747,0.463855421686747,0.3132530120481928,0.6626506024096386,0.3072289156626506,0.28313253012048195,0.4578313253012048,0.42771084337349397,0.37349397590361444
11,27,1,2,2,0,7,0.0,3,11,0.272727273,56,41,5,1,A,A,A,C,C,A,A,A,C,B,A,A,A,D,A,D,A,B,A,D,1,2,3,A,C,B,A,A,A,A,D,A,B,C,D,B,A,A,C,A,B,C,A,1,3,3,3,3,3,4,4,4,4,4,4,2,3,4,2,4,2,3,2,3,2,3,3,4,1,3,3,2,4,4,4,1,3,0.20481927710843373,0.46987951807228917,0.5542168674698795,0.1686746987951807,0.13855421686746988,0.8192771084337349,0.27710843373493976,0.6325301204819277,0.25301204819277107,0.18674698795180722,0.35542168674698793,0.4457831325301205,0.7409638554216867,0.19879518072289157,0.6265060240963856,0.14457831325301204,0.6445783132530121,0.5240963855421686,0.42168674698795183,0.23493975903614459,0.20481927710843373,0.10843373493975904,0.4397590361445783,0.5602409638554217,0.5481927710843374,0.3493975903614458,0.39156626506024095,0.1927710843373494,0.21686746987951808,0.3253012048192771,0.37349397590361444,0.37349397590361444,0.463855421686747,0.3132530120481928,0.6626506024096386,0.24096385542168675,0.28313253012048195,0.463855421686747,0.15060240963855423,0.37349397590361444
